id,nome,pais,posicao,raridade
10,Benjamin Gonçalves,Brasil,Zagueiro (Titular),Comum
1161,Fabio Gómez Ortega,Equador,Zagueiro (Titular),Comum
1101,Luke Schofield,País de Gales,Goleiro (Titular),Comum
1050,David Moore,Canadá,Técnico,Comum
1029,John Warren,Canadá,Goleiro (Titular),Comum
1018,Scott Anderson,Estados Unidos,Meio-Campo (Reserva),Comum
997,Caleb Holmes,África do Sul,Goleiro (Reserva),Comum
994,Mark Irwin,África do Sul,Goleiro (Reserva),Muito Raro
993,Gregory Flynn,África do Sul,Lateral (Reserva),Comum
992,Darren Reed,África do Sul,Zagueiro (Reserva),Comum
990,Grant Barrera,África do Sul,Lateral (Reserva),Comum
965,Mary Adeyemi,Nigéria,Atacante (Reserva),Comum
941,Antoine Vaillant,Marrocos,Atacante (Reserva),Muito Raro
933,Georges Ribeiro,Marrocos,Meio-Campo (Titular),Comum
906,Jordan Wilkerson,Arábia Saudita,Zagueiro (Titular),Raro
893,Arthur Gaillard,Egito,Meio-Campo (Reserva),Comum
879,Denis de la Rodriguez,Egito,Zagueiro (Titular),Comum
853,Kathleen McEwen,Nova Zelândia,Meio-Campo (Titular),Comum
794,Alex Fernandez,Austrália,Zagueiro (Reserva),Comum
791,Michael Hamilton,Austrália,Meio-Campo (Reserva),Comum
780,Gary Hardy,Austrália,Atacante (Titular),Comum
776,Shane Wilson,Austrália,Lateral (Titular),Comum
760,Curtis Morrison,Coréia do Sul,Zagueiro (Titular),Comum
747,Steven Guzman,Japão,Lateral (Reserva),Comum
739,Justin Nguyen,Japão,Meio-Campo (Reserva),Comum
705,Alf Tangen,Noruega,Meio-Campo (Titular),Comum
673,Oskari Mäkelä-Hämäläinen,Finlândia,Lateral (Reserva),Comum
670,Ari Toivonen-Penttilä,Finlândia,Zagueiro (Reserva),Comum
666,Juho Kosonen,Finlândia,Meio-Campo (Reserva),Comum
665,Miro Jaakkola,Finlândia,Lateral (Reserva),Comum
662,Olavi Partanen,Finlândia,Lateral (Reserva),Comum
658,Rasmus Mäkelä-Tuominen,Finlândia,Atacante (Titular),Comum
636,Teodor Müller,República Checa,Goleiro (Titular),Comum
622,Benjamin Pendl,Áustria,Meio-Campo (Reserva),Comum
599,Rose-Marie Imhof,Suíça,Meio-Campo (Reserva),Comum
591,Sean Schnyder,Suíça,Meio-Campo (Reserva),Comum
568,Jeffrey Martinez,Ucrânia,Atacante (Reserva),Comum
552,Erik Castro,Ucrânia,Lateral (Titular),Comum
547,Brăduț Nistor,Romênia,Meio-Campo (Reserva),Comum
521,Frank Barry,Grécia,Lateral (Reserva),Comum
507,Evan Johnson,Grécia,Meio-Campo (Titular),Comum
503,Jesse Perry,Grécia,Zagueiro (Titular),Comum
493,Aydinç Hançer,Turquia,Lateral (Reserva),Comum
451,Viktor Eriksson,Suécia,Meio-Campo (Titular),Comum
414,Zlatko Županić,Croácia,Lateral (Reserva),Comum
406,Božica Kuščević,Croácia,Zagueiro (Titular),Comum
399,Dylan De Smet,Bélgica,Goleiro (Reserva),Comum
368,Isabella Stange,Holanda,Goleiro (Reserva),Comum
354,Wout Kolen,Holanda,Atacante (Titular),Comum
339,Henry Bentley,Inglaterra,Atacante (Reserva),Comum
336,Jacob Hall,Inglaterra,Atacante (Titular),Comum
313,Kevin do Neves,Portugal,Meio-Campo (Reserva),Comum
306,Álvaro Pires,Portugal,Goleiro (Titular),Raro
287,Osvaldo Pardo Barral,Espanha,Lateral (Reserva),Comum
278,Casemiro Diego Gibert Romero,Espanha,Zagueiro (Titular),Comum
275,Enzio Ossani,Itália,Técnico,Comum
259,Dott. Coriolano Paolucci,Itália,Meio-Campo (Titular),Comum
258,Valerio Andreotti,Itália,Lateral (Titular),Comum
244,William-Isaac Pasquier,França,Goleiro (Reserva),Comum
238,Pierre Martin,França,Goleiro (Reserva),Comum
236,Frédéric Chartier,França,Atacante (Titular),Comum
178,Rufino Escobar,Venezuela,Meio-Campo (Titular),Comum
173,Ignacio Durán,Peru,Zagueiro (Reserva),Comum
172,Silvano Víctor Cedillo Marrero,Peru,Atacante (Reserva),Comum
158,Aldo Juan Carlos Rivera Marín,Peru,Atacante (Titular),Comum
125,Sebastián González Muñoz,Chile,Técnico,Comum
102,Raúl Ramírez Machuca,Chile,Zagueiro (Titular),Comum
72,Lautaro Benjamin Ojeda,Uruguai,Lateral (Reserva),Comum
61,Juan Martin Aguirre Arias,Uruguai,Meio-Campo (Titular),Comum
49,Delfina Pereyra,Argentina,Meio-Campo (Reserva),Comum
44,Julieta Felipe Garcia,Argentina,Zagueiro (Reserva),Comum
24,Thomas Moraes,Brasil,Goleiro (Reserva),Comum
913,Eric Roberts,Arábia Saudita,Meio-Campo (Reserva),Comum
734,Keith Huerta,Japão,Atacante (Titular),Comum
229,Augustin Lebreton,França,Meio-Campo (Titular),Comum
1182,Marco Antonio Villegas,Costa Rica,Goleiro (Titular),Raro
1088,Robert Jones,Escócia,Meio-Campo (Reserva),Comum
828,Suvakit Losatapornpipit,Índia,Goleiro (Titular),Comum
571,Erik Coleman,Ucrânia,Meio-Campo (Reserva),Comum
1010,Jonathan Terry,Estados Unidos,Lateral (Titular),Raro
20,Enzo Guerra,Brasil,Zagueiro (Reserva),Comum
17,Otávio Machado,Brasil,Atacante (Reserva),Comum
