id,nome,pais,posicao,raridade
5,Marcelo Albuquerque,Brasil,Atacante (Titular),Comum
1037,Brian English,Canadá,Meio-Campo (Reserva),Comum
1028,Robert Garcia,Canadá,Atacante (Titular),Comum
924,Sean Ayala,Arábia Saudita,Atacante (Reserva),Comum
893,Arthur Gaillard,Egito,Meio-Campo (Reserva),Comum
700,Einar Svendsen,Dinamarca,Técnico,Comum
62,Thiago Nahuel Maximo Sanchez,Uruguai,Zagueiro (Reserva),Comum
20,Enzo Guerra,Brasil,Zagueiro (Reserva),Comum
1102,Allan Miller,País de Gales,Lateral (Titular),Comum
1082,Ronald Dodd,Escócia,Zagueiro (Titular),Comum
1014,Jonathan Stanton,Estados Unidos,Atacante (Reserva),Comum
976,Patrick Terrell,África do Sul,Meio-Campo (Titular),Muito Raro
905,Robert Wright,Arábia Saudita,Atacante (Titular),Comum
852,Wendy Gardiner-Lyon,Nova Zelândia,Meio-Campo (Titular),Comum
850,Wassaya Vethayasas,Índia,Técnico,Comum
800,Brent Kennedy,Austrália,Técnico,Comum
776,Shane Wilson,Austrália,Lateral (Titular),Comum
746,Cameron Ingram,Japão,Zagueiro (Reserva),Raro
721,Jan Vik,Noruega,Lateral (Reserva),Comum
604,Stefan Reichmann,Áustria,Goleiro (Titular),Muito Raro
499,Halidun Demirel,Turquia,Atacante (Reserva),Muito Raro
402,Joško Ivančan,Croácia,Lateral (Titular),Comum
246,René Cousin-Bertin,França,Zagueiro (Reserva),Comum
220,Nikola Trapp,Alemanha,Atacante (Reserva),Comum
127,Juan Carlos Renato Gracia Nájera,México,Goleiro (Titular),Comum
38,Pilar Martín Muñoz Villalba,Argentina,Zagueiro (Reserva),Comum
25,Bernardo da Conceição,Brasil,Técnico,Comum
951,Deborah Adeyemi,Nigéria,Goleiro (Titular),Comum
653,Joonas Puustinen,Finlândia,Meio-Campo (Titular),Comum
298,Casemiro Monreal Conesa,Espanha,Lateral (Reserva),Comum
193,Humberto Solís,Venezuela,Zagueiro (Reserva),Comum
81,Luis Óscar Espitia Rentería,Colômbia,Zagueiro (Titular),Comum
53,Tomàs Vazquez Fernandez,Uruguai,Atacante (Titular),Comum
827,Chayapat Chaihirankarn,Índia,Lateral (Titular),Comum
58,Ian Benjamin Fernandez,Uruguai,Meio-Campo (Titular),Comum
1191,Lic. Jacobo Marín,Costa Rica,Goleiro (Reserva),Comum
1062,Jennifer O'Byrne,Irlanda,Goleiro (Reserva),Comum
998,Micheal Kim,África do Sul,Zagueiro (Reserva),Comum
979,Jason Gilmore,África do Sul,Zagueiro (Titular),Comum
921,Craig Carlson,Arábia Saudita,Lateral (Reserva),Comum
914,Eric Ball,Arábia Saudita,Meio-Campo (Reserva),Comum
758,James Martin,Coréia do Sul,Zagueiro (Titular),Comum
645,Matěj Čech,República Checa,Lateral (Reserva),Comum
465,Erik Olsson,Suécia,Lateral (Reserva),Comum
323,Vasco Sá,Portugal,Atacante (Reserva),Comum
174,Gregorio Elias Becerra,Peru,Lateral (Reserva),Comum
101,Alfredo Bastián Muñoz Jorquera,Chile,Goleiro (Titular),Comum
113,Cristopher Luis González Vergara,Chile,Lateral (Reserva),Comum
1104,Guy Spencer-Day,País de Gales,Goleiro (Titular),Comum
956,Charity Adeyemi,Nigéria,Atacante (Titular),Comum
718,Dag Eliassen,Noruega,Zagueiro (Reserva),Raro
200,Francisco Javier Escobar Serrano,Venezuela,Técnico,Comum
1151,Alfonso Jaime Arango,Equador,Lateral (Titular),Comum
922,Mark Brown,Arábia Saudita,Meio-Campo (Reserva),Comum
231,Guillaume Bailly du Bigot,França,Goleiro (Titular),Comum
210,Klaus-Ulrich Adolph,Alemanha,Lateral (Titular),Comum
1190,Jonás Roybal,Costa Rica,Goleiro (Reserva),Comum
1129,Alma Dylan Benjamin Hernandez Lucero,Paraguai,Meio-Campo (Titular),Comum
1063,Robbie Carthy,Irlanda,Meio-Campo (Reserva),Comum
760,Curtis Morrison,Coréia do Sul,Zagueiro (Titular),Comum
378,Michel De Schryver,Bélgica,Atacante (Titular),Comum
311,Diego Oliveira,Portugal,Goleiro (Titular),Comum
328,Stewart Morrison,Inglaterra,Goleiro (Titular),Comum
949,Thomas Laporte du Pages,Marrocos,Atacante (Reserva),Comum
932,Jacques Allard,Marrocos,Meio-Campo (Titular),Comum
552,Erik Castro,Ucrânia,Lateral (Titular),Comum
501,John Lawson,Grécia,Zagueiro (Titular),Comum
253,Bernardo Rossetti,Itália,Meio-Campo (Titular),Comum
178,Rufino Escobar,Venezuela,Meio-Campo (Titular),Comum
60,Francisco Figueroa,Uruguai,Meio-Campo (Titular),Comum
