id,nome,pais,posicao,raridade
1,Arthur Miguel Macedo,Brasil,Goleiro (Titular),Comum
2,Pedro Lucas Mendes,Brasil,Goleiro (Titular),Comum
3,Otto Camargo,Brasil,Atacante (Titular),Comum
4,Davi Lucas Jesus,Brasil,Atacante (Titular),Comum
5,Marcelo Albuquerque,Brasil,Atacante (Titular),Comum
6,José Miguel Fogaça,Brasil,Meio-Campo (Titular),Comum
7,Thomas Ferreira,Brasil,Zagueiro (Titular),Comum
8,Dante da Luz,Brasil,Atacante (Titular),Raro
9,Luiz Henrique Lima,Brasil,Zagueiro (Titular),Comum
10,Benjamin Gonçalves,Brasil,Zagueiro (Titular),Comum
11,Bryan Alves,Brasil,Goleiro (Titular),Comum
12,Luiz Felipe Montenegro,Brasil,Atacante (Reserva),Comum
13,Miguel Pimenta,Brasil,Meio-Campo (Reserva),Comum
14,José Peixoto,Brasil,Zagueiro (Reserva),Comum
15,Luiz Miguel Campos,Brasil,Goleiro (Reserva),Comum
16,Lucca Mendonça,Brasil,Goleiro (Reserva),Comum
17,Otávio Machado,Brasil,Atacante (Reserva),Comum
18,João Felipe Rios,Brasil,Atacante (Reserva),Comum
19,Gustavo Henrique Cassiano,Brasil,Lateral (Reserva),Comum
20,Enzo Guerra,Brasil,Zagueiro (Reserva),Comum
21,Enzo Cardoso,Brasil,Atacante (Reserva),Raro
22,Lucas Nascimento,Brasil,Goleiro (Reserva),Comum
23,Brayan Pastor,Brasil,Meio-Campo (Reserva),Comum
24,Thomas Moraes,Brasil,Goleiro (Reserva),Comum
25,Bernardo da Conceição,Brasil,Técnico,Comum
26,Josefina Ponce,Argentina,Lateral (Titular),Comum
27,Alma Valentina Paz Silva,Argentina,Meio-Campo (Titular),Comum
28,Benicio Mora Medina Rodriguez,Argentina,Zagueiro (Titular),Comum
29,Felipe Santiago Perez Carrizo,Argentina,Atacante (Titular),Comum
30,Federico Pereyra,Argentina,Lateral (Titular),Comum
31,Francisco Felipe Garcia Sosa,Argentina,Atacante (Titular),Comum
